state_t,next_state_t1,transition_probability,sample_size,warning
away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,0.044586,110,False
away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=61-75|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,0.184713,110,False
away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=61-75|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,0.063694,110,False
away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=61-75|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,0.133758,110,False
away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=1_plus|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,0.019108,110,False
away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=1_plus|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,0.019108,110,False
away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,0.039474,29,False
away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,0.065789,29,False
away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=61-75|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,0.315789,29,False
away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,0.040909,173,False
away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,0.05,173,False
away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,0.013636,173,False
away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,0.254545,173,False
away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=61-75|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,0.077273,173,False
away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=61-75|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,0.054545,173,False
away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=61-75|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,0.022727,173,False
away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=61-75|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,0.3,173,False
away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=1_plus|minute_bucket=61-75|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,0.013636,173,False
away_red_cards=0|home_red_cards=0|minute_bucket=61-75|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=76-90+|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,0.284091,41,False
away_red_cards=0|home_red_cards=0|minute_bucket=61-75|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=76-90+|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,0.056818,41,False
away_red_cards=0|home_red_cards=0|minute_bucket=61-75|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=76-90+|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,0.125,41,False
away_red_cards=0|home_red_cards=0|minute_bucket=61-75|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=1_plus|home_red_cards=0|minute_bucket=76-90+|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,0.045455,41,False
